"Title","Type","Location","Logo","Phone","Fax","Mobile Phone","Member"
"Austin Permaculture Guild","EcoCommunity - non-profits, government agencies and community groups.","","sites/default/files/org_logos/apglogo.png","(512) 992-8858(512) 619-5363","","","selwynpolitjnazakDickPierce"
"Austin EcoNetwork","EcoBusiness","
  
          Austin EcoNetwork Office
                  Austin,               TX
                                              
      
      See map: Google Maps    
  ","sites/default/files/org_logos/aen_logo.jpg","(512) 850-5895","","","Brandi Clark BurtonselwynpolitDawnielleC"
"Austin Energy Green Building Program","EcoCommunity - non-profits, government agencies and community groups.","
  
          Austin Energy Green Building
              
        721 Barton Springs Rd.              
              Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/greenbuildinglogo_0.jpg","(512) 482-5300","","","Teresa Dixon"
"Texas Solar Energy Society","EcoCommunity - non-profits, government agencies and community groups.","","sites/default/files/org_logos/TXSESLOGOrgb.jpg","","","",""
"Terra Burger","","
  
              
        2522 Guadalupe St.              
              Austin,               TX
              78705
                                          
      
      See map: Google Maps    
  ","","(512) 436-8570","","",""
"Clean Tech Training Center","EcoBusiness","","","(512) 689-0180","","",""
"Public Citizen","EcoCommunity - non-profits, government agencies and community groups.","
  
          Public Citizen Texas Office
              
        1303 San Antonio Street              
              Austin,               TX
              78701
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/pclogo100x150.JPG","(512) 477-1155","","","Citizen Sarahsmitty"
"Good Seed Organic","EcoBusiness","
  
          Good Seed Organic
              
        1402 W Oltorf              
              Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","","(512) 444-7333","","",""
"Angel Productions","EcoBusiness","
  
          Brad Love
              
        17524 Lighthouse Lane              
              North Shore,               TX
              78645
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/angel_logo_name_0.png","(512) 267-6267","","","Brad Love"
"Social Web Strategies","EcoBusiness","
  
          Social Web Strategies
              
        5113 Southwest Parkway, #250              
              Austin,               TX
              78735
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/SWS_logo.jpg","(512) 762-6547","","","jonl"
"Austin Urban Gardens","EcoBusiness","","sites/default/files/org_logos/aug-logo2_0.jpg","(512) 632-3599","","",""
"Solar Community","EcoBusiness","
  
           
              
        4704 E Cesar Chavez St  Suite 120 B               
              Austin,               TX
              78702
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/Logo_Simple_Lrg.jpg","(512) 904-9006","","",""
"Barr Mansion","EcoBusiness","
  
          Barr Mansion
              
        10463 Sprinkle Rd Austin              
              Austin,               TX
              78754-9604
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/barr-150x100.jpg","(512) 926-6907","","","birdie"
"Sustainable Food Center","EcoCommunity - non-profits, government agencies and community groups.","
  
          Sustainable Food Center
              
        2921 E. 17th, Bldg. C              
              Austin,               TX
              78702
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/SFClogo2008jpeg_0.JPG","(512) 236-0074","","",""
"Citizen Gardener","EcoCommunity - non-profits, government agencies and community groups.","
  
          Each class series takes place at a different community location
                  Austin,               TX
                                              
      
      See map: Google Maps    
  ","","(512) 850-5895","","","SFC"
"Ecology Action","EcoCommunity - non-profits, government agencies and community groups.","
  
          Central Austin Recycling
              
        707 E. 9th St.                   on the west side of IH-35              
              Austin,               TX
                                              
      
      See map: Google Maps    
  ","","","","",""
"Environment Texas","EcoCommunity - non-profits, government agencies and community groups.","
  
          Office
              
        815 Brazos, Suite 600              
              Austin,               TX
              78701
                                          
      
      See map: Google Maps    
  ","","(512) 479-0388","(512) 479-0400","",""
"Hill Country Conservancy","EcoCommunity - non-profits, government agencies and community groups.","
  
              
        221 West 6th Street Suite 350              
              Austin,               TX
                                              
      
      See map: Google Maps    
  ","sites/default/files/org_logos/hillcountryconservancy.png","(512) 328-2481","(512) 732-0268","","MaryCheyenne"
"Farmhouse Delivery","EcoBusiness","
  
              
        914 Shady Lane              
              Austin,               TX
              78702
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/2009farmhousedelivery_150.jpg","","","",""
"Green Bistro Catering","EcoBusiness","
  
          Green Bistro Catering Headquarters
              
        15510 Ranch Road 620, Suite 2109              
              Austin,               TX
              78717
                                          
      
      See map: Google Maps    
  ","","(512) 218-0091","","",""
"Capital Area Food Bank of Texas","EcoCommunity - non-profits, government agencies and community groups.","
  
              
        8201 S. Congress Ave.              
              Austin,               TX
              78745
                                          
      
      See map: Google Maps    
  ","","(512) 282-2111","","",""
